Author,uTime,Text
Ahmed Javed Jamal,1578039171,"এইবরর বইমলয় আমর ইচছ করল সনআবররক নয় একট বই পরকশ করত পর বইয়র শরত সন এব আবররর মতযর বরণণ থকবযহত বয়ট পরশসন সন সমত সধ সনর মতযর বরণণ লখন এব এখন পরযনত আবররক কন সতমভ হয়ন,সজনয বল দজনর কথ শষ আপনদর লখগল থকব লখর ধরণ ক ক হত পর ১সনআবরর আনদলন যর জড়ত ছলন,তর আনদলনর সময়কর সতয কথগল লখবনআনদলন বধদনকরদর কথগল উললখ করবন এব এরকম সনতরসর নপথয কহন গল যদ পরন,তল আনবন লখয় ২যর সনআবররক নয় আপনর অনভত গল, সট গলপকর,ছড়য়,কবতয় যভব ইচছ, লখন ৩যর সনআবরর সকলরশপ সকম নয় কজ করত চন,আপনর আপনদর চনত শল গল লখয় নয় আসন,এগল অনতত বইটত থকল ভবষযত বসতবয়ন সহজ হয় ৪ছতর নরযতনর ঘটন এব রযগ এর ভয়বহ অতযচরর শকরএসব তল ধরত পরন কভব লখবন আপন আড়পতত আপনর নতনপরন লখর শরত হযশটযগ যকত কর এই পসটর কমনট লক আকর দবন এব লখগল সমপদন কমট বছই কর এব পরয়জন আপনর সথ যগযগ কর এডট করব লখ জম দয়র শষদন ২০ জনয়র ২০২০,এরপর আর লখ জম নয় হব নযদও এত অলপসময় বই পরকশ কর কঠন,তবও চষট করযদ সময়র সবলপতর করণ বইমলয় পরকশত ন হয়,তব বয়ট এই বইয়র পরকশত হব বইয়র পরচছদ আপনর ২০জনয়র ২০২০এর মধয বইয়র পরচছদ আমদর দত পরন,যখন সন এব আবররর বষয় ট যন থক বইয়র নমকরণ ক হব সমপদন কমট ঠক করব অথব আপনর পরসতব দত পরন কর সমপদন করবন আম কর সথ যগযগ করন এখন,যগযগ কর এখন নমগল যকত করছ তহল এই বইমলয় সনআবররসমরণ বই বরচছ,আপন লখ দবন নশচয়ই"
Shompa Hai,1578524673,Re Shamina Reza Ava
Muhammad Talut,1578559155,"কভব ধরষণ থক বচ যত পর তর অনক ওয় আছ কছ পলম নট ঘট একবর চখ বলয় দখ যত পর পপ সমরট মইকল জযকসনর বব তর দই ময় লটয় এব জযনট দইজনকই রগলর ধরষণ করত তর আজও কস করন বপর বরদধ আসল বষয়ট অনক ডইভরসফয়ড দশ আইন নই বল রইপ হচছ, এইট খবই ভইগ একট কথ আইনর শসন হয়ত রপ কমত পর কনত দমত পর ন সরয়ল কলরর ক জন ন, ধর পড়ল ফস তও কল কর পপয় নউ গনর আদবসদর মধয কন রপ নই বললই চল কন নই ওদর দকষ পলশ  আর বচর বযবসথর জনয কখনই ন এদর শরর কপড় চপড়র বলই নই ওদর আপবরঙ এব সশযল সটরকচরটই এমন য রপর কথ তদর মথয় আস ন আমদর দশর চকম মরম, মগ, মর,কক, খম, তঞচঙঘযদর মঝও রপ নই বললই চল রপর কথ আমর মথয় কন আসছ ন, আরকজনর মথয় কন আসছ আম ক রপ কর ন আইনর ভয় কখনই ন আসল ত আমর রপ করত ইচছ কর ন, এই চনত মথতই আস ন, তই কর ন যদ সতয ইচছ হত, আইন ক ঠকত পরত আমর বশবস হয় ন নয়ত পরতষঠত আইনর শসনর দশগলত রপ, খন কনটই থকত ন তদর মযকসমম রপ, খনগলই অবশবসযরকমর নশস আমদর দরকর অধকতর গবষণ, নরপতত বষটন, সচতনত, পটনশয়ল রপসট আইডনটফকশন এসবর অনক পদধত আছ য পরয়গ কর রইপ ঠকয় দওয় যয় ঠকত ন পরল তবই বচর তর আগ পরযনত ঠকনর সরবচচ চষট চলত হব"
Muhammad Talut,1578325543,"ধরষণ থক কউ নরপদ নয়, কথও নরপদ নয় তই পরতরকষমলক বযবসথ সবর আগ দরকর হরভরড, অকসফরড, ইলযনড, ভরত, আমরক, রশয়, সইডন সবখন ধরষণ হচছ, সবই হচছ, শশ, ছল, ময়, বড়, বড় কউ বদ যচছ ন বচর যথষট হয়ন এট থমত, পরওন বলদশর মত ঘনবসতময় নতববরজত মনষ ভর জয়গয় ধরষণ থমনকমন খবই কঠন এব সময়সপকষ সরকরর ব অনয করও কছ কছ আশ কর বস থক আমর আজকই ধরষত হওয়র রসক নত পর ন অবশযই সরকর এই ভয়বহ সমসয নরসন বযরথ, জনগণও তই, আরও অনক দশর মতই তই এট পরতরধর জনয য য কর সমভব, ত করত হব আতমরকষরথ যসব পদধত করযকর, ত আয়তত এন পরয়গ করত হব"
Rayhan Rashed,1578517713,"আমর অনকই সকল কলজ থকর সময় অনক টচররপরইভট টউটর এর কছ বযচপরইভট পড়ছ, কনত তদর পরপয অলপবসতর বঝয় দয় হয়ন অনকই তখন দত পরন, কউ ব পরয়জন বধ করন অনযনয করণও হয়ত আছ তখন যরকম ভবই কর হক ন কন, টকট কনত উনদর পরপয আপনরও অনকই এখন সচছল ভল চকরবযবস করন একট মন কর উনদর হক এর সমন পরপয ব তর সমমলয পরল কছ বশ গফট তদর করত পরন সবসত ন পল করণ বলর দরকর নই কনত একবর একট পসট লক বযক কর মন কর দখবন, এরকম কখন হয় গয়ছ কন"
S M Azharul Islam,1578369311,"১ দশ কন একট চঞচলযকর ঘটন ঘটল আড়পত গরপ ও সরগরম হয় ওঠ ... বযপর ট অনকশই ভল ... আজক ইউনভরসট থক মইল পলম,UK র ইতহসর সমভবত সবথক বড় রপসট এর সজ নয় , ছলট ইউনভরসট অফ মযঞচসটরর সবক ছতর , একজন সরয়ল সইক রপসট ... পরয় ১৯০ জন পরষ ক ধরষণ করছ এব অধকশ ভকটম ক পরয় একই কয়দয় .... সইক মভগলত যমন দখয় ধরষণ ব হতযর দশয নজ ধরণ কর সগল সরকষণ কর এক ধরণর মজ পয় এই সনগও  ইনদনশয়ন সই কজ টই দনর পর দন কর গছ ... তর লইফর বক কজ গল খব সধরণ মনষর ই মতন নক ছল, নয়মত চরচও যত ... স এই কজ ট করছ একট গরড স মদকর মধযম ... আকরনত ক ডরক অফর কর অচতন কর ... স নজ ক এ ধরণর ব এরকম কন ডরগ এডকট ছল কন সট জন নই, তব সমভবন ই বশ ... এব তর এই ১৯০ ট কসর পরয় সব ঘটনই  তর ফলযট মযনচসটরর খব বযসত পপলর একট জয়গয় ... খব কছ থকই শকর ধর আন ...কন নরজন , নরবল জয়গ ত ন ২ বলদশ দইট অপরধ খব বশ পরমণ বড় গছ কয়ক বছর , সড়ক বপরয় চলচলর জনয দরঘটন আর ধরষণ ... এ দটর জনয একদল কবল দষটভঙগ ক দয় করব ত আরক দল করব আইনর শসনর অভব , আবর কউ দয় করব ময়দর চলফর, পশক ব ঘরর বইর বরয় আস ক  কনত একট বরট করণ ক অধকশই আম এডরস করত দখ ন , ত হচছ মদক ... হরড ডরক এর পরসর নয় যদ জরপ কর যয় সখযর উমফলন ট দখ চমক উঠত হব ... সমসয শধ তত ন  ইয়ব, LSD সহ গরড স টইপ ডরগ খদ বলদশই নন ভব পরতল হয় যওয়য় এগলর বযবহর চলছ যখন সখন ... এর একট বড় বযবহরকর হচছ পরবহন শরমকর  অলপ সময় বশ টরপ মরত এব মলক ও যখন কম শরমক খটয় বশ মনফ র সনধন এসব ডরগ ইউজর দর সখয বড় যচছ খব আশক জনক হর ... আপনর শধ সরচ কর দখন , পরবহন শরমক দর হত কতজন নর নগহত হয়ছ শধ গত ২৩ বছর ... ঠক এইই মদকর করণই অনতত চলকদর অনয়নতরণ বড়ছ বহগণ  অপরপর করণ, যমন গড়র ফটনস, রসত এসব ক বদ দচছ বল ভববন ন  এই মদকর থব থক মসজদ মদরসর হজররও য মকত ত ন ... গত বছর এরকম ২৩ ট রপরট এসছ ইয়ব বযবসর সথ ঢক নরয়নগঞজর হজররও জড়ত  ক আসল পরকত ক পশর নক ছদমবশ বযবসর খতর সট বচর সমভব ন যদও  ... যন বকত এব আনকনটরলড করইমর একট বড় উৎসই মদক, অথচ পরচর কথ চলচল হলও এ বযপর ট ক মটমট চপ যওয় হয় ... হয়ত কন ন কনভব মদকর সথ তর পরভব আছই এট সচতন মহল ও মখ আনন ন ... বযকতগত মতমত ধরষণর মতন একট অপরধ ক ১২ ট সপসফক কন করণ দয় বরণন সমভব ন , ধরষণ আর সড়ক দরঘটনর পর অপরধ নয় সচতন মহল আরকট জয়গয় উক দত পরন, কশর অপরধ ... শউর উঠবন ... এখনও মদকর বসতরর ভমক ট ভল বঝত পরবন "
Sandeepan Sanyal,1578426933,"গত বছর ফবরয়রর ঘটন সয়টল সধ সবধন এবর য ক হয় ভবছ আবহওয় পরবভস খরপ মধয জনয়র থক  একটন কয়কদন সন পরসকর কর এখন সবপনও সন সরচছ মহ জবল ইষট কসট আর মড ওয়সটর থক ক ভব অবশয আমদর মত ত ওর খলন চমচ দয় ডরইভ ওয় পরসকর কর ন আমজন একট সন সভল অরডর করছলম শকরবর সকল আসবর কথ ওর জনল তমর রসতয় সন, পরসকর কর  ন হল ডলভর কর যচছ ন আর মরন সন পরসকর করর জনযই ত তর সভলট দরকর অগতয বলচ দয় অননতকল ধর সন সরন শর করলম গনন পশর বস থক সভল ধর কর নয় এল মহ শনত ধর ধর পর ডরইভ ওয় কলন আরক পশর পরতবশ এস বল, তমর সভলট একট দও আম বল, দড়ও পশর মলকক জজঞস কর দই তমক পশর মলক বল, আর ভই  আম ত আরকজনর কছ থক ধর করলম ও চচছ যর কছ থক ধর করছ তক ফরত দত হব আজক আর দদন কট গল আমজন বলছ সদর টকসস থক সভল বড়র কছ ইসকয়ত চল এসছ কনত আর দদনর মধয তমক দয় যচছ ন করণ সটরজর রকষক সভলট কক যন ধর দয়ছ, এখনও ফরত পয় ন"
Nazmus Sadat,1578364809,"One of them is Cofounded by BUETian, Muhammad Hussain Mahdi. The mission is to transform the global clothing supply chain, with sourcing, production  sales capacity across Asia  Europe, For micro, small  medium sized global brands and enterprises. You can find its flag in multiple countries of Asia  EuropeMajor. httpsacceleratingasia.comacceleratingasiaunveilsse  Provide translation to Bengali"
NITEX,1578031071,"কষটয়র সই ছলট আটদনর বলদশ সফর শষ আবর নজর করমসথল ফরত আসলম সবলপ সময় বশ কছ আড়পতয় আডডয় যগ দবর সভগয হয়ছ ধনযবদ Tanveer Ehsanur Rahman, Sutapa Das আর Shahnaz Afroz ক  আমদর পরবরর পরধন উদদশয ছল অসসথ শবশরক সময় দয় আর ময়র চকৎস বষয়ক জটলত নয় বশ কছ বশষজঞ ডকতরর সথ শল পরমরশ কর পরবর আটজন ডকতর হল য হয়, আমকও ইসজ, ইক, ইটট আর আলটরসনর খপপর একবল দত হয়ছ এরই মঝ বয়টর জনয বরবরর মত দ বল রখছলম মহউদদন খলদ এর মত কউ কউ অফসক তড় মর সময় কটয়ছ আমর সথ আবর কর কর সথ মসজ যগযগ করছ দখ করবর জনয, সমভবত আমর মতই ওদর ও সময়র অপরতলতয় দখ হয় ওঠ ন যমন ভব আমও অনককই কল ব রটরন কল দত পর ন এ কয়দন ফসবক ও ঠক মত চক কর ন ছলদরক আবররর ঘর দখয়ছ ওর কয়দন পর বশববদযলয় যব ওদর ও জন উচত এই ঘটনগল রশদ হল নজর রম পরন খট বস সমত জবর কটছ বয়ট আবররর বষয় শকষকদর, এলমনইদর এব বশ কছ বরতমন ছতরদর সথ কথ হয়ছ ধর ধর কছ কছ অভজঞত সহভগ করব এখন তব সবচয় অবক যট লগছ, শকষক ব অথরটর সথ সমপকত এক অশ আবরর নমট পরযনত নত সবলল অনভব কর ন সমবধন কর, কষটয়র সই ছলট সকল ন অবশযই বশর ভগই আনতরকভব চয় বয়ট সসথ পরবশ ফর আসক"
Sandeepan Sanyal,1577954405,ছল ক কর ছল এযডমন আছ কথয় এই ডজনখনক ফইসবক পইজ   Provide translation to English
