Author,uTime,Text
Shahed Bin Satter,1577867509,"DataSoft Systems Bangladesh Ltd. is looking to hire Software Engineers in different stacks. If you match the requirements below, send us your resume at infodatasoftbd.com. Frontend Developer ... See More"
Maksud Alam,1577099676,CommEngine is looking for some talented Software Engineers  Provide translation to Bengali
S R Tusher,1577772729,Job opportunity for Graphics Designers 𝗚𝗮𝗹𝗮𝘅𝘆 𝗚𝗹𝗼𝗯𝗮𝗹 𝗜𝗧 𝐕𝐚𝐜𝐚𝐧𝐜𝐲  1... See More
Galaxy Global-IT,1577784388,"Company name  Aamra Network Educational Qualification . BSc in CSEEEEETE Additional Requirements 1. At least two years of with installation, configuration, and troubleshooting Windows Server 2003, 2008, 2008 R2, or newer 2. At least three years of technical experience installing, configuring, troubleshooting and supporting enterpriseserver class hardware... See More"
Nayem Ahmed Khan,1577718897,"Full time Android Developer needed Experience  23 years No. of vacancy  2 Weekly 2 holidays Festival Bonus 2 Job location  Panthapath, Dhaka ... See More"
Asif Amin,1577778079,"Full time Android Developer needed Experience  23 years No. of vacancy  2 Salary 30,00040,000 Weekly 2 holidays ... See More"
Solution Cat Limited,1577778106,"Assalamu Alaikum. We Need a FullTime Android Developer for a IT Firm. REQUIREMENTS  Mid Level Developer with 2 Years Experience. It can be considerable if you have Great Learning Skill, Have Some Live Projects. Have Exp in Clean Code, Git , MVVM Structure Mostly our work is Database Based, So Database based working exp is Plus. Some Work exp in Flutter is Plus. Practicing Islamic Person is suitable for our IT Firm. So its a Plus. ... See More"
Asif Amin,1576679693,"Circle FinTech Ltd is looking for Intern BackEnd Company Type FinTech Office Hours 900 AM  600 PM SunThursday Office Location Nasir Trade Center, 89 Bir Uttam CR Datta Road Bangla Motor, Dhaka Job Type Intern ... See More  Provide translation to Bengali"
Saiful Islam Saif,1577778209,"Looking for a Laravel Developer for our startup. Apply if you have a mindset to hustle every day and desperate enough to achieve big.  Work Station Bibirhat, Chittagong ... See More  Provide translation to Bengali"
Rakib Jafor,1577573943,Assalamu Alaikum. We need a Mid level FlutterAndroid Developer for Full time office work. Requirements 1. Have at least 1 year Experience in Flutter 2. Have at least 2 year Experience in Android 3. Good Knowledge in UI Design  Clean Coding ... See More
Yeasin Been,1577116968,"WeMatrix Solution Ltd. are looking to hire iOS Developers to design, build, and maintain the next generation of iOS applications. Position 1 Software Engineer iOS  Mid Level Job Type Full Time 5Days Week Job Location Baridhara DOHS... See More"
Saiful Islam Saif,1576134472,We are looking for Unity3D Game Developers to join our team  Hamba Games is one of the best hypercasual mobile game developers worldwide and Number 1 game development company in Bangladesh with over 150 million downloads on App Store and Google Play. We are looking for talented Unity3D Game Developers to join our high performing team. Requirements... See More
Mahmudul Hasan Razib,1577693761,𝗠𝗶𝗱 𝗟𝗲𝘃𝗲𝗹 WordPress 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗲𝗿 𝗚𝗮𝗹𝗮𝘅𝘆 𝗚𝗹𝗼𝗯𝗮𝗹 𝗜𝗧 𝐕𝐚𝐜𝐚𝐧𝐜𝐲  1... See More
Tanvir Ahamed,1577573611,"অবসথত সটরটআপ সফটওয়যর ফরম এর জনয ২ জন কর ও ডভলপর পরয়জন ফরমর নম Appstick অবসথন সনডঙগ আবসক এলক, খলন... See More"
Hamba Games,1575867660,"Job Circular for fulltime Intern Web Developer  Shuttle is an appbased pick  drop service for women that aims to provide safe, comfortable and affordable transportation for all women in Bangladesh. Currently we are looking for fulltime Intern Web Developer. Website www.shuttlebd.com... See More"
S R Tusher,1577573792,Career opportunity at Battery Low Interactive Ltd. Gear up and apply for the post as instructed. Position Sr. Game Developer Job Responsibilities... See More
Galaxy Global-IT,1577338825,"Bangla Puzzle Limited is Looking for Android Developer who love coding more than Money. Job Responsibilities  Design and build advanced applications for the Android platform  Collaborate with crossfunctional teams to define, design, and ship new features... See More"
Shakir Ahsan Romeo,1577573579,"Sr. Software Engineer  Python SJ Innovation LLC Location Mohakhali DOHS, Dhaka Salary 70K Based on expertise We are looking for individuals who are ambitious, organized and selfdriven with learning attitude. Responsibilities and requirements Proficiency in Python software development. ... See More"
Shah Sufian,1577693804,Senior Wordpress Plugins Developer Company Name Gain Solutions Ltd. ... See More
Fuad Rahman,1576767717,Position Web Developer ... See More
Nadim Majid,1577573859,Position iOS Developer Company Name TheBorak... See More
Bangla Puzzle,1577573856,Position Web Developer Company Name TheBorak... See More
Sakhawat Hossain Kabir,1577573862,Position Android Developer Company Name TheBorak... See More
Mazidur Rahman,1577573876,Urgent Recruitment Cyberdyne Technology Ltd. is looking for a Software EngineerSr. Software Engineer MidLevel Job Requirements  Experience 23 Year  Must be known Codeigniter Framework and Others MVC Framework... See More
Gain Solutions Ltd,1577573765,"We are looking for Laravel developers with 1 years of experience. You must be proactive and a problem solver. WHAT YOU WILL DO Write RESTful APIs with LaravelLumen. Design and develop and operate microservices that serve millions of users. Writing frontend codes with Vue.jsReact.js. Talk to different APIs, creating scalable scheduling and job queues that scale to multiple servers. Develop different modular packages. YOU MUST HAVE Professional experience with Laravel Clear knowle... See More"
Tonu Jewel,1577573550,
Tonu Jewel,1577573964,JOB OPPORTUNITY Company Name Master MUA Post Admin and Content Developer Job Description... See More
Tonu Jewel,1577519854,"Job Description Engaged in all phases of the software development lifecycle which include gathering and analyzing userbusiness system requirements, responding to outages and creating application system models. Participate in design meetings and consult with clients to refine, test and debug programs to meet business needs and interact and sometimes direct third party partners in the achievement of business and technology initiatives. Job duties and responsibilities  Rese... See More"
Tonu Jewel,1577573788,Career opportunity at Battery Low Interactive Ltd. Gear up and apply for the post as instructed. Position Jr. Game Developer Job Responsibilities... See More
Md. Ashafuddowla Ashiq,1577574016,"আসসলম আলইকম ডফজ আইট লমটড এ কছ সখযক ওয়ব ডভলপর Backend  Laravel,Vue js নওয় হব, আগরহ পররথর আমদর ফইসবক পইজ, মবইল অথব মইল এ যগযগ করত পরন  অবশযই CV সহ আপনর Detail দয় Mail করত হব ... See More  Provide translation to English"
Cyberdyne Technology Ltd.,1577573968, We are hiring Android Developer with minimum 1year experience  at Creative IT Soft... See More
Nazir Ahmed,1577573883,Urgent Recruitment Analyst Programmer  Android App Development... See More  Provide translation to Bengali
Md Tanbir Hossen,1577573870,
